rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
6,6,0,OLD,20178672,패딩턴 2,2018-02-08,112349800,4.2,15154500,15.6,276426100,14351,681,5,35683,510,1353
7,7,1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,62840000,2.3,13275800,26.8,18592953104,7484,998,15.4,2262090,212,361
8,8,-3,OLD,20168323,염력,2018-01-31,59486924,2.2,-63870376,-51.8,7231233181,7287,-7843,-51.8,957928,500,1265
9,9,0,OLD,20178395,12 솔져스,2018-01-31,56996100,2.1,11163300,24.4,1456569800,6575,756,13,178252,181,454
10,10,0,OLD,20189901,더 포리너,2018-02-07,39062900,1.4,4325600,12.5,156494500,4581,161,3.6,19775,154,459
1,1,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2740175669,48.5,1470741593,115.9,5345004545,327600,172430,111.1,661212,1249,6608
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,780789669,13.8,403129693,106.7,25213415482,92722,47618,105.6,3135948,724,2767
3,3,0,OLD,20179985,코코,2018-01-11,551412400,9.8,356704900,183.2,25505700416,66167,42617,181,3234348,650,1633
4,4,2,OLD,20178672,패딩턴 2,2018-02-08,349361100,6.2,237011300,211,625787200,44831,30480,212.4,80514,625,1543
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,256131600,4.5,134349900,110.3,114836546437,29904,15512,107.8,14306315,456,895
6,6,-2,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,219687400,3.9,64617600,41.7,3853926864,26183,7468,39.9,498290,457,942
7,7,2,OLD,20178395,12 솔져스,2018-01-31,123943600,2.2,66947500,117.5,1580513400,14287,7712,117.3,192539,200,482
8,8,-1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,104578400,1.9,41738400,66.4,18697531504,12293,4809,64.3,2274383,196,357
9,9,-1,OLD,20168323,염력,2018-01-31,87696231,1.6,28209307,47.4,7318929412,10545,3258,44.7,968473,492,1060
10,10,8,OLD,20189761,터닝메카드W: 반다인의 비밀 특별판,2018-02-08,54935800,1.0,46363300,540.8,78820700,7108,5954,515.9,10525,166,377
1,1,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2526685800,48.3,-213489869,-7.8,7871690345,304233,-23367,-7.1,965445,1236,6430
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,717972900,13.7,-62816769,-8,25931388382,84720,-8002,-8.6,3220668,705,2670
3,3,0,OLD,20179985,코코,2018-01-11,506452500,9.7,-44959900,-8.2,26012152916,60799,-5368,-8.1,3295147,642,1633
4,4,0,OLD,20178672,패딩턴 2,2018-02-08,361262000,6.9,11900900,3.4,987049200,45668,837,1.9,126182,629,1528
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,235915500,4.5,-20216100,-7.9,115072461937,27634,-2270,-7.6,14333949,449,877
6,6,0,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,187006100,3.6,-32681300,-14.9,4040932964,22120,-4063,-15.5,520410,453,902
7,7,0,OLD,20178395,12 솔져스,2018-01-31,113542600,2.2,-10401000,-8.4,1694056000,13112,-1175,-8.2,205651,197,465
8,8,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,94189000,1.8,-10389400,-9.9,18791720504,11051,-1242,-10.1,2285434,193,351
9,9,0,OLD,20168323,염력,2018-01-31,80114300,1.5,-7581931,-8.6,7399043712,9654,-891,-8.4,978127,465,951
10,10,0,OLD,20189761,터닝메카드W: 반다인의 비밀 특별판,2018-02-08,55982000,1.1,1046200,1.9,134802700,7164,56,0.8,17689,168,373
1,1,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,688680700,43.8,-1838005100,-72.7,8560371045,91433,-212800,-69.9,1056878,1165,5887
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,214763400,13.6,-503209500,-70.1,26146151782,28443,-56277,-66.4,3249111,674,2510
3,3,0,OLD,20179985,코코,2018-01-11,129901700,8.3,-376550800,-74.4,26142054616,17116,-43683,-71.8,3312263,555,1370
4,4,2,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,91854300,5.8,-95151800,-50.9,4132787264,11923,-10197,-46.1,532333,422,954
5,5,-1,OLD,20178672,패딩턴 2,2018-02-08,82234000,5.2,-279028000,-77.2,1069283200,11442,-34226,-74.9,137624,516,1243
6,6,-1,OLD,20150976,신과함께-죄와 벌,2017-12-20,78851900,5.0,-157063600,-66.6,115151313837,10415,-17219,-62.3,14344364,439,919
7,7,1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,39711400,2.5,-54477600,-57.8,18831431904,5155,-5896,-53.4,2290589,189,358
8,8,-1,OLD,20178395,12 솔져스,2018-01-31,37881600,2.4,-75661000,-66.6,1731937600,4814,-8298,-63.3,210465,190,476
9,9,0,OLD,20168323,염력,2018-01-31,25764500,1.6,-54349800,-67.8,7424808212,3459,-6195,-64.2,981586,424,811
10,10,1,OLD,20189901,더 포리너,2018-02-07,21031600,1.3,-36043200,-63.2,292696700,2674,-3895,-59.3,35694,149,399
1,1,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,673731800,40.0,-14948900,-2.2,9234102845,89617,-1816,-2,1146495,1161,5842
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,215642600,12.8,879200,0.4,26361794382,28725,282,1,3277836,692,2544
3,3,0,OLD,20179985,코코,2018-01-11,140843300,8.4,10941600,8.4,26282897916,18771,1655,9.7,3331034,560,1393
4,4,1,OLD,20178672,패딩턴 2,2018-02-08,121095800,7.2,38861800,47.3,1190379000,17214,5772,50.4,154838,539,1318
5,5,-1,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,87310400,5.2,-4543900,-4.9,4220097664,11410,-513,-4.3,543743,424,949
6,6,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,84927700,5.0,6075800,7.7,115236241537,11228,813,7.8,14355592,440,924
7,7,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,46946900,2.8,7235500,18.2,18878378804,6105,950,18.4,2296694,195,376
8,8,0,OLD,20178395,12 솔져스,2018-01-31,40040300,2.4,2158700,5.7,1771977900,5098,284,5.9,215563,191,476
9,9,0,OLD,20168323,염력,2018-01-31,27849900,1.7,2085400,8.1,7452658112,3721,262,7.6,985307,434,848
10,10,0,NEW,20170841,리틀 포레스트,2018-02-28,21524000,1.3,21524000,100,21524000,3239,3239,100,3239,15,15
1,1,18,OLD,20170561,블랙 팬서,2018-02-14,5055433500,65.0,5046149500,54353.2,5081266500,630461,629217,50580.1,633484,1449,7196
2,2,9,OLD,20168250,골든슬럼버,2018-02-14,1234112400,15.9,1201203700,3650.1,1319478100,161564,158528,5221.6,170249,762,3653
3,3,-2,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,547907400,7.0,-125824400,-18.7,9782010245,72063,-17554,-19.6,1218558,618,2387
4,4,0,NEW,20176121,흥부: 글로 세상을 바꾼 자,2018-02-14,335132900,4.3,335132900,100,366450900,43694,43694,100,47544,557,2359
5,5,0,NEW,20078561,명탐정 코난:감벽의 관,2018-02-14,285572800,3.7,285572800,100,295448800,41627,41627,100,42838,432,820
6,6,-3,OLD,20179985,코코,2018-01-11,76557600,1.0,-64285700,-45.6,26359455516,10161,-8610,-45.9,3341195,302,454
7,7,-5,OLD,20176104,그것만이 내 세상,2018-01-17,70674000,0.9,-144968600,-67.2,26432468382,9428,-19297,-67.2,3287264,318,531
8,8,-4,OLD,20178672,패딩턴 2,2018-02-08,53066000,0.7,-68029800,-56.2,1243445000,7572,-9642,-56,162410,256,330
9,9,-3,OLD,20150976,신과함께-죄와 벌,2017-12-20,26125600,0.3,-58802100,-69.2,115262367137,3514,-7714,-68.7,14359106,103,140
10,10,-5,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,11935100,0.2,-75375300,-86.3,4232032764,1620,-9790,-85.8,545363,62,89
1,1,0,OLD,20170561,블랙 팬서,2018-02-14,5038074700,54.6,-17358800,-0.3,10119341200,563855,-66606,-10.6,1197339,1587,7779
2,2,0,OLD,20168250,골든슬럼버,2018-02-14,1566288200,17.0,332175800,26.9,2885766300,183922,22358,13.8,354171,822,3626
3,3,0,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,1214366900,13.2,666459500,121.6,10996377145,143710,71647,99.4,1362268,691,2492
4,4,0,OLD,20176121,흥부: 글로 세상을 바꾼 자,2018-02-14,537378100,5.8,202245200,60.3,903829000,62908,19214,44,110452,579,2072
5,5,0,OLD,20078561,명탐정 코난:감벽의 관,2018-02-14,230259700,2.5,-55313100,-19.4,525708500,29637,-11990,-28.8,72475,487,881
6,6,0,OLD,20179985,코코,2018-01-11,172114000,1.9,95556400,124.8,26531569516,20771,10610,104.4,3361966,353,516
7,7,0,OLD,20176104,그것만이 내 세상,2018-01-17,145924800,1.6,75250800,106.5,26578393182,17402,7974,84.6,3304666,312,485
8,8,0,OLD,20178672,패딩턴 2,2018-02-08,112358700,1.2,59292700,111.7,1355803700,14382,6810,89.9,176792,282,377
9,9,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,62675000,0.7,36549400,139.9,115325042137,7133,3619,103,14366239,119,161
10,10,1,OLD,20179462,위대한 쇼맨,2017-12-20,14938000,0.2,4146100,38.4,11285511400,1677,306,22.3,1376098,36,46
1,1,0,OLD,20170561,블랙 팬서,2018-02-14,5113899324,48.6,75824624,1.5,15233240524,562493,-1362,-0.2,1759832,1620,7904
2,2,1,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,1978435030,18.8,764068130,62.9,12974812175,231673,87963,61.2,1593941,848,2943
3,3,-1,OLD,20168250,골든슬럼버,2018-02-14,1924264076,18.3,357975876,22.9,4810030376,223269,39347,21.4,577440,815,3512
4,4,0,OLD,20176121,흥부: 글로 세상을 바꾼 자,2018-02-14,692575000,6.6,155196900,28.9,1596404000,80692,17784,28.3,191144,568,1770
